concept_index,unique_id,concept,category_bottom_up,category_wordnet,category_manual,Percent_known,Concreteness (M),COCA word freq,SUBTLEX freq,categories_53,image-label_nameability_mean,image-label_consistency_mean,image-label_ratings-per-image_mean,property_manmade_mean,property_precious_mean,property_lives_mean,property_heavy_mean,property_natural_mean,property_moves_mean,property_grasp_mean,property_hold_mean,property_be-moved_mean,property_pleasant_mean,property_arousal_mean,property_arousal_work-time_mean
689,golf_cart,golf cart,vehicle,"container, sports equipment, vehicle",vehicle,1.0,4.81,,0.0,vehicle,0.904415706,0.904415706,17.41666667,6.5789,3.2632,1.1842,6.4211,1.5,6.2368,3.6842,1.9474,5.1316,4.8947,4.176470588,6993.313725
690,golf_club,golf club,sports equipment,sports equipment,sports equipment,1.0,4.97,,0.0,sports equipment,0.838831812,0.838831812,17.5,6.375,3.5312,1.25,3.3438,1.75,2.7812,6.375,6.2812,6.3438,4.5625,4.260869565,4987.847826
691,gondola,gondola,,vehicle,vehicle,0.96,4.92,642.0,37.0,vehicle|watercraft,0.571078073,0.590413585,18.33333333,6.8684,4.2105,1.3421,6.1579,2.3158,5.8947,3.5789,2.2368,4.2632,5.6316,3.730769231,6418.307692
692,gong,gong,musical instrument,musical instrument,musical instrument,1.0,4.7,447.0,124.0,musical instrument,0.877767055,0.877767055,16.91666667,6.7949,4.3333,1.1026,6.0769,1.7179,3.7949,4.6923,3.4615,3.1282,4.6154,4.549019608,6916.254902
693,goose,goose,bird,"animal, bird","animal, bird, food",1.0,4.81,4216.0,665.0,animal|bird|farm animal|food,0.734498355,0.734498355,18.0,1.425,4.75,6.85,3.775,6.525,6.775,3.45,3.425,4.1,4.475,3.953488372,6541.674419
694,gopher,gopher,animal,animal,animal,1.0,4.67,272.0,72.0,animal|mammal,0.12846343,0.364883985,17.5,1.0526,4.4474,6.9211,2.6053,6.7368,6.8421,3.3947,3.7105,4.1842,4.7368,4.70212766,5822.957447
695,gorilla,gorilla,animal,animal,"animal, food",1.0,4.97,1770.0,283.0,animal|mammal,0.895519231,0.895519231,18.23809524,1.1842,5.5263,6.9211,6.7368,6.8158,6.8947,2.2632,1.8158,2.1842,4.7895,4.897959183999999,6864.653061
696,gourd,gourd,vegetable,fruit,"home decor, vegetable",0.93,4.86,664.0,24.0,home decor|vegetable,0.453499919,0.572042924,17.47058824,1.5676,4.0,5.5135,4.2162,6.6486,2.027,5.1892,5.4865,5.5676,5.1892,4.533333333,5586.622222
697,graffiti,graffiti,,decoration,,0.96,4.73,1898.0,103.0,,0.721880035,0.744810168,17.84210526,6.5946,3.7297,1.5405,1.5135,1.4595,1.2162,2.5135,1.5946,1.4865,4.1622,3.851851852,5607.814815
698,grain,grain,food,fruit,food,1.0,4.8,9520.0,243.0,food,0.34560221,0.571083806,17.5,2.2821,4.7692,4.1795,1.9487,6.4359,2.7179,5.7436,6.2308,6.0,5.0769,4.048780488,5065.634146
